Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
22/05/2025,WEST LAUNCESTON,TAS,7250,4,2,4,840,House,PRIVATE TREATY,540000,723000,-41.4534128,147.1237075,159.635071
26/07/2025,MORPHETTVILLE,SA,5043,2,1,2,,House,PRIVATE TREATY,495000,723000,-34.9852559,138.5445997,8.101478274
7/08/2025,MONCRIEFF,ACT,2914,3,2,2,158,Townhouse,PRIVATE TREATY,980000,722500,-35.1538603,149.1202126,16.03911485
2/07/2025,TAYLOR,ACT,2913,,,,771,Vacantland,PRIVATE TREATY,980000,722250,-35.1422465,149.1059451,17.23985066
4/03/2025,BANKS,ACT,2906,3,1,1,506,House,PRIVATE TREATY,980000,722000,-35.4656576,149.0958595,18.65310057
26/04/2025,ABERFOYLE PARK,SA,5159,3,1,1,700,House,AUCTION,495000,722000,-35.0649529,138.5960019,15.17783957
28/04/2025,SALISBURY,SA,5108,4,1,5,696,House,PRIVATE TREATY,495000,722000,-34.7709522,138.634274,17.72308686
5/05/2025,PARA HILLS,SA,5096,3,1,2,725,House,PRIVATE TREATY,495000,722000,-34.8150124,138.6670337,13.97356661
24/05/2025,FAWKNER,VIC,3060,3,1,2,585,House,AUCTION,550000,722000,-37.6948297,144.9613607,13.25513029
18/07/2025,FRANKLIN,ACT,2913,3,1,1,200,House,PRIVATE TREATY,980000,722000,-35.1942927,149.1463789,12.17365838
1/08/2025,BALLAJURA,WA,6066,3,1,1,513,House,PRIVATE TREATY,505000,722000,-31.8353787,115.9012318,13.90600747
7/08/2025,WILLASTON,SA,5118,5,2,4,1117,House,PRIVATE TREATY,495000,722000,-34.588953,138.7446582,39.89722024
8/08/2025,BALDIVIS,WA,6171,4,2,2,630,House,PRIVATE TREATY,505000,722000,-32.3570632,115.8103356,44.73693724
2/05/2025,RIDGEHAVEN,SA,5097,3,1,2,677,House,PRIOR TO AUCTION,495000,721500,-34.8258922,138.7054096,14.89172699
11/08/2025,MIRANI,QLD,4754,4,2,3,800,House,PRIVATE TREATY,670000,721500,-21.1619444,148.8716488,815.6710251
11/04/2025,HOLT,ACT,2615,3,2,2,,Townhouse,PRIVATE TREATY,980000,721000,-35.2294808,148.9982881,12.03776485
